PINK,GREEN,BLUE,PURPLE,SOLID_LIQUID_RATIO,COLOR_ERR_MEAN,COLOR_ERR_STD,STRAIN_ERR_MEAN,STRAIN_ERR_STD
1.0,1.0,1.0,1.0,1.3,10.0,1.0,22.97,10.99
1.0,1.0,1.0,1.0,1.5,10.0,1.0,19.67,5.57
1.0,1.0,1.0,1.0,2.5,10.0,1.0,4.73,2.78
1.0,1.0,1.0,1.0,0.7,10.0,1.0,100,0
1.0,1.0,1.0,1.0,0.8,10.0,1.0,100,0
1.0,1.0,1.0,1.0,1.5,10.0,1.0,19.44,1.5
1.0,1.0,1.0,1.0,2.25,10.0,1.0,1.0,0.1
1.0,1.0,1.0,1.0,2.0,10.0,1.0,2.5,0.5
