PINK,GREEN,BLUE,PURPLE,SOLID_LIQUID_RATIO,COLOR_ERR_MEAN,COLOR_ERR_STD,STRAIN_ERR_MEAN,STRAIN_ERR_STD
2,8,28,2,1.3,411.33,9.29,22.97,10.99
36,30,10,24,1.5,426,0.82,19.67,5.57
28,10,32,14,2.5,410.67,17.75,4.73,2.78
14,30,8,36,0.7,372.67,33.83,88.5,0
16,18,18,36,0.8,377.67,0.47,88.5,0
38,4,40,14,2.5,432.67,1.25,5.09,4.25
34,2,40,22,2,431,0.82,8.56,4.46
32,8,40,26,1.5,433.57,0.47,21.24,10.48
16,4,20,12,3,393.33,6.55,13.1,3.21
20,0,40,0,2.25,402.33,5.44,18.67,14.93
