PINK,GREEN,BLUE,PURPLE,SOLID_LIQUID_RATIO,COLOR_ERR_MEAN,COLOR_ERR_STD,STRAIN_ERR_MEAN,STRAIN_ERR_STD
1.0,4.0,14.0,1.0,1.3,,,,
18.0,15.0,5.0,12.0,1.5,,,,
14.0,5.0,16.0,7.0,2.5,,,,
7.0,15.0,4.0,18.0,0.7,,,,
8.0,9.0,9.0,18.0,0.8,,,,
