CIF_id,Compound,Central atom,Coordination number,A atom count in CN,B atom count in CN,Volume of polyhedron,Distance from central atom to center of mass,Number of edges,Number of faces,Shortest distance to center of any face,Shortest distance to center of any edge,Volume of the inscribed sphere,Packing efficiency of inscribed sphere in polyhedron
250465,YNi3,Y2,6,0,6,0.1856,0.0001,12,8,0.0064,1.437,0.0,0.0
250468,SmIn3,In1,12,4,8,82.4965,0.0,30,20,2.4381,2.313,60.7086,0.7359
250468,SmIn3,Sm1,18,6,12,131.9944,0.0,30,20,2.6708,3.2711,79.8029,0.7359
250469,YbIn3,In1,12,4,8,81.9094,0.0,30,20,2.4323,2.3075,60.2766,0.7359
250469,YbIn3,Yb1,18,6,12,131.0551,0.0,30,20,2.6645,3.2633,79.235,0.7359
250502,YAl3,Al1,12,4,8,64.8039,0.3241,30,20,2.0285,1.9184,34.9647,0.5396
250502,YAl3,Al2,12,4,8,65.01,0.0001,30,20,2.1938,2.1658,44.2245,0.6803
250502,YAl3,Y1,12,0,12,66.2989,0.1003,30,20,2.2002,2.0882,44.6167,0.673
250502,YAl3,Y2,12,0,12,68.464,0.0,30,20,2.2621,2.181,48.487,0.7082
250503,GdAl3,Al1,17,4,13,59.5659,0.2873,27,18,1.7818,1.58,23.6937,0.4656
250503,GdAl3,Gd1,12,0,12,19.8568,0.0,30,20,1.302,0.9122,9.2456,0.4656
250504,NdAl3,Al1,17,4,13,62.6564,0.2942,27,18,1.6477,1.8683,18.7393,0.4654
250504,NdAl3,Nd1,12,0,12,20.887,0.0,30,20,1.3239,0.9342,9.7207,0.4654
250505,PrAl3,Al1,10,2,8,21.0836,0.0,12,8,1.3281,0.9387,9.8118,0.4654
250505,PrAl3,Pr1,12,0,12,21.0848,0.0,30,20,1.3281,0.9388,9.8125,0.4654
250506,CeAl3,Al1,17,4,13,64.1196,0.2975,27,18,1.6663,1.8894,19.3806,0.4654
250506,CeAl3,Ce1,12,0,12,21.3747,0.0,30,20,1.3342,0.9447,9.9475,0.4654
250507,LaAl3,Al1,10,2,8,22.1444,0.0,12,8,1.3501,0.9615,10.3087,0.4655
250507,LaAl3,La1,12,0,12,22.1457,0.0,30,20,1.3502,0.9616,10.3095,0.4655
250508,ErAl3,Al1,12,4,8,64.0165,0.0,30,20,2.2405,2.1255,47.1093,0.7359
250508,ErAl3,Er1,18,6,12,102.4264,0.0,30,20,2.4543,3.0059,61.9263,0.7359
250554,Y0.25Ce0.75,Ce1,17,8,9,84.2338,0.4078,21,14,1.8688,2.119,27.3392,0.4708
250554,Y0.25Ce0.75,Ce2,17,8,9,80.405,0.4078,21,14,1.722,1.8352,21.3874,0.4655
250554,Y0.25Ce0.75,Y1,17,8,9,84.2338,0.4078,21,14,1.8688,2.119,27.3392,0.4708
250554,Y0.25Ce0.75,Y2,17,8,9,80.405,0.4078,21,14,1.722,1.8352,21.3874,0.4655
250646,TmPt3,Pt1,12,4,8,55.1128,0.0,30,20,2.1314,2.022,40.5571,0.7359
250646,TmPt3,Tm1,18,6,12,88.1804,0.0,30,20,2.3348,2.8595,53.3133,0.7359
250647,YbPt3,Pt1,12,4,8,54.6236,0.0,30,20,2.125,2.016,40.1971,0.7359
250647,YbPt3,Yb1,18,6,12,87.3978,0.0,30,20,2.3279,2.851,52.8401,0.7359
250648,LuPt3,Lu1,18,6,12,87.2678,0.0,30,20,2.3267,2.8496,52.7615,0.7359
250648,LuPt3,Pt1,12,4,8,54.5424,0.0,30,20,2.124,2.015,40.1373,0.7359
250649,ScPt3,Pt1,12,4,8,51.5144,0.0,30,20,2.0839,1.977,37.9091,0.7359
250649,ScPt3,Sc1,18,6,12,82.4231,0.0,30,20,2.2828,2.7959,49.8324,0.7359
250650,CePd3,Ce1,18,6,12,93.7903,0.0,30,20,2.3833,2.9189,56.705,0.7359
250650,CePd3,Pd1,12,4,8,58.6189,0.0,30,20,2.1756,2.064,43.1372,0.7359
250651,GdPd3,Gd1,18,6,12,91.4248,0.0,30,20,2.3631,2.8942,55.2748,0.7359
250651,GdPd3,Pd1,12,4,8,57.1405,0.0,30,20,2.1572,2.0465,42.0493,0.7359
250652,Pd3Sn,Pd1,12,8,4,52.3396,0.0,30,20,2.095,1.9875,38.5163,0.7359
250652,Pd3Sn,Sn1,18,12,6,83.7433,0.0,30,20,2.295,2.8107,50.6306,0.7359
250653,YbPd3,Pd1,12,4,8,54.6642,0.0,30,20,2.1256,2.0165,40.227,0.7359
250653,YbPd3,Yb1,18,6,12,87.4628,0.0,30,20,2.3284,2.8518,52.8794,0.7359
250654,YbIn3,In1,12,4,8,81.803,0.0,30,20,2.4313,2.3065,60.1982,0.7359
250654,YbIn3,Yb1,18,6,12,130.8848,0.0,30,20,2.6633,3.2619,79.132,0.7359
250668,La3Co,Co1,16,14,2,165.1418,0.6771,39,26,2.3062,2.2513,51.3803,0.5547
250668,La3Co,La1,12,9,3,101.8672,0.147,30,20,2.0862,2.1083,38.0322,0.3734
250668,La3Co,La2,15,12,3,139.5234,0.1289,39,26,2.7122,2.7107,83.5696,0.599
250693,CePd3,Ce1,18,6,12,92.7039,0.0,30,20,2.3741,2.9076,56.0482,0.7359
250693,CePd3,Pd1,12,4,8,57.9399,0.0,30,20,2.1672,2.056,42.6376,0.7359
250717,TbAl3,Al1,12,4,8,64.7619,0.379,30,20,2.0712,1.963,37.22,0.5747
250717,TbAl3,Al2,12,4,8,64.4062,0.0001,30,20,2.195,2.1576,44.3006,0.6878
250717,TbAl3,Tb1,12,0,12,66.0643,0.0884,30,20,2.2035,2.0933,44.8174,0.6784
250717,TbAl3,Tb2,12,0,12,66.5663,0.0001,30,20,2.2384,2.1597,46.98,0.7058
250718,GdAl3,Al1,17,4,13,59.8776,0.2878,27,18,1.7849,1.5828,23.8176,0.4656
250718,GdAl3,Gd1,12,0,12,19.9607,0.0,30,20,1.3043,0.9138,9.294,0.4656
250763,Sm3Co,Co1,16,14,2,149.0783,0.6571,39,26,2.2156,2.1665,45.5603,0.551
250763,Sm3Co,Sm1,18,14,4,169.7714,0.2092,42,28,2.6212,2.9318,75.4415,0.6236
250763,Sm3Co,Sm2,15,12,3,125.9518,0.1592,39,26,2.636,2.6205,76.7194,0.6371
250765,SmCo3,Co1,12,5,7,52.2274,0.0447,30,20,2.0576,2.0385,36.4918,0.6987
250765,SmCo3,Co2,12,3,9,48.7739,0.0082,30,20,1.9889,2.1589,32.9555,0.6757
250765,SmCo3,Co3,12,6,6,52.7468,0.0,30,20,2.0599,2.1854,36.6125,0.6941
250765,SmCo3,Sm1,16,4,12,81.0168,0.0954,42,28,2.4906,2.6167,64.713,0.7988
250765,SmCo3,Sm2,6,0,6,0.1955,0.0,12,8,0.0066,1.4578,0.0,0.0
250804,La0.75Pt2.25,La1,17,4,13,98.4032,0.0,42,28,2.7308,2.856,85.3057,0.8669
250804,La0.75Pt2.25,Pt1,18,6,12,66.0022,0.0,30,20,2.2297,2.365,46.4343,0.7035
250804,La0.75Pt2.25,Pt2,13,1,12,66.0022,0.2573,33,22,1.904,1.6723,28.9123,0.5238
250805,Pr0.75Pt2.25,Pr1,16,3,13,84.909,0.2207,39,26,1.8843,1.655,28.0234,0.5238
250805,Pr0.75Pt2.25,Pt1,18,6,12,63.9725,0.0,30,20,2.2066,2.3405,45.007,0.7035
250805,Pr0.75Pt2.25,Pt2,17,4,13,95.3772,0.0,42,28,2.7026,2.8264,82.6824,0.8669
250806,Nd0.75Pt2.25,Nd1,14,1,13,63.3968,0.2538,33,22,1.8786,1.65,27.771,0.5238
