CIF_id,Compound,Shortest homoatomic distance,Shortest heteroatomic distance,Shortest homoatomic distance by 2 by atom size,Shortest heteroatomic distance by sum of atom sizes,Shortest homoatomic distance by 2 by refined atom size,Shortest heteroatomic distance by sum of refined sizes,Highest refined percent difference by 100 (abs value),Lowest refined percent difference by 100 (abs value),Packing efficiency
250648,LuPt3,2.8496,2.8496,1.0273,0.9178,1.0,1.0,0.1706,0.0273,0.74048
250649,ScPt3,2.7959,2.7959,1.0079,0.9234,1.0,1.0,0.1481,0.0079,0.74048
250650,CePd3,2.9189,2.9189,1.0607,0.9136,1.0,1.0,0.1977,0.0607,0.74048
250651,GdPd3,2.8942,2.8942,1.0517,0.915,1.0,1.0,0.1902,0.0517,0.74047
250652,Pd3Sn,2.8107,2.8107,1.0213,0.9736,1.0,1.0,0.0699,0.0213,0.74047
250653,YbPd3,2.8518,2.8518,1.0362,0.8603,1.0,1.0,0.2646,0.0362,0.74048
250654,YbIn3,3.2619,3.2619,1.0043,0.9155,1.0,1.0,0.1589,0.0043,0.74048
250668,La3Co,3.6292,2.835,0.9699,0.9084,1.0,1.0,0.1837,0.0301,0.66362
250693,CePd3,2.9076,2.9076,1.0566,0.91,1.0,1.0,0.2008,0.0566,0.74048
250717,TbAl3,2.8132,3.0142,1.0738,0.9805,1.0,1.0,0.0887,0.0738,0.67421
250718,GdAl3,2.9376,2.9377,1.1212,0.9486,1.0,1.0,0.178,0.1212,0.66507
250763,Sm3Co,3.4862,2.7553,0.9722,0.9055,1.0,1.0,0.1902,0.0278,0.65527
250765,SmCo3,2.5017,2.906,1.0007,0.955,1.0,1.0,0.0769,0.0007,0.72233
250804,La0.75Pt2.25,2.7308,3.2022,0.9844,0.9829,1.0,1.0,0.0183,0.0156,1.00598
250805,Pr0.75Pt2.25,2.7026,3.169,0.9742,0.9882,1.0,1.0,0.0258,0.0012,1.00599
250806,Nd0.75Pt2.25,2.6944,3.1595,0.9713,0.9873,1.0,1.0,0.0287,0.0004,1.00598
