,ts,iteration,max_toughness,candidate_count
0,1711928651.2681868,1,33.58925223,0
1,1711928652.185691,2,33.58925223,0
2,1711928654.2904563,3,33.58925223,0
3,1711928655.0581913,4,33.58925223,0
4,1711928655.5822687,5,33.58925223,0
5,1711928656.2543004,6,33.58925223,0
6,1711928657.0161216,7,33.58925223,0
7,1711928658.2870905,8,33.58925223,0
8,1711928661.2991447,9,33.58925223,0
9,1711928664.8580196,10,33.58925223,0
10,1711928665.8107688,11,33.58925223,0
11,1711928666.7524328,12,33.58925223,0
12,1711928670.0747905,13,33.58925223,0
13,1711928671.0728602,14,33.58925223,0
14,1711928671.9972959,15,33.58925223,0
15,1711928673.5255048,16,33.58925223,0
16,1711928674.782137,17,35.196379336666666,1
17,1711928676.1457818,18,35.196379336666666,1
18,1711928677.5252566,19,35.196379336666666,1
19,1711928678.7093403,20,35.196379336666666,1
20,1711928680.0962563,21,35.196379336666666,1
21,1711928683.8825269,22,35.196379336666666,1
22,1711928687.4402268,23,35.196379336666666,1
23,1711928688.8152618,24,35.196379336666666,1
24,1711928692.8605518,25,35.196379336666666,1
25,1711928697.277362,26,35.196379336666666,1
26,1711928698.872961,27,35.196379336666666,1
27,1711928700.2853656,28,35.196379336666666,1
28,1711928704.2093172,29,35.196379336666666,1
29,1711928705.7500691,30,35.196379336666666,1
30,1711928707.4998295,31,35.196379336666666,1
31,1711928709.0260012,32,35.196379336666666,1
32,1711928710.724881,33,35.196379336666666,1
33,1711928715.2493424,34,35.196379336666666,1
34,1711928720.2769902,35,35.196379336666666,1
35,1711928726.338005,36,35.196379336666666,1
36,1711928727.9940214,37,35.196379336666666,1
37,1711928733.0576153,38,35.196379336666666,1
38,1711928741.3412404,39,35.196379336666666,1
39,1711928749.2468941,40,35.196379336666666,1
40,1711928758.0667305,41,35.196379336666666,1
41,1711928767.4295974,42,35.196379336666666,1
42,1711928777.421356,43,35.196379336666666,1
43,1711928780.7843766,44,35.196379336666666,1
44,1711928789.9319696,45,35.196379336666666,1
45,1711928800.3936462,46,35.196379336666666,1
46,1711928809.2192364,47,35.196379336666666,1
47,1711928811.6561167,48,35.196379336666666,1
48,1711928819.3738945,49,35.196379336666666,1
49,1711928827.7071319,50,35.196379336666666,1
50,1711928831.304608,51,35.196379336666666,1
51,1711928834.382726,52,35.196379336666666,1
52,1711928843.37087,53,35.196379336666666,1
53,1711928854.134291,54,35.196379336666666,1
54,1711928857.1681743,55,35.196379336666666,1
55,1711928859.3878453,56,35.196379336666666,1
56,1711928869.132791,57,35.196379336666666,1
57,1711928881.9243486,58,35.196379336666666,1
58,1711928890.6198971,59,35.196379336666666,1
59,1711928900.0527844,60,35.196379336666666,1
60,1711928911.536719,61,35.196379336666666,1
61,1711928915.0501027,62,35.196379336666666,1
62,1711928926.1736891,63,35.196379336666666,1
63,1711928939.120755,64,35.196379336666666,1
64,1711928945.3063989,65,35.196379336666666,1
65,1711928955.3479383,66,35.196379336666666,1
66,1711928960.1852653,67,35.196379336666666,1
67,1711928964.085613,68,35.196379336666666,1
68,1711928981.6284425,69,35.196379336666666,1
69,1711928996.3803248,70,35.196379336666666,1
70,1711929002.71382,71,36.59695302666667,2
71,1711929018.359002,72,36.59695302666667,2
72,1711929035.7238853,73,36.59695302666667,2
73,1711929055.8496745,74,36.59695302666667,2
74,1711929059.6333163,75,36.59695302666667,2
75,1711929074.8413825,76,36.59695302666667,2
76,1711929090.0165539,77,36.59695302666667,2
77,1711929111.1943412,78,36.59695302666667,2
78,1711929118.4442632,79,36.59695302666667,2
79,1711929139.1804364,80,36.59695302666667,2
80,1711929158.148557,81,36.59695302666667,2
81,1711929180.0843318,82,36.59695302666667,2
82,1711929199.0754213,83,36.59695302666667,2
83,1711929206.8362029,84,36.59695302666667,2
84,1711929227.1860492,85,36.59695302666667,2
85,1711929235.7124217,86,36.59695302666667,2
86,1711929262.5351884,87,36.59695302666667,2
87,1711929267.6232898,88,36.59695302666667,2
88,1711929277.242397,89,36.59695302666667,2
89,1711929301.051811,90,36.59695302666667,2
90,1711929309.76883,91,36.59695302666667,2
91,1711929318.1096647,92,36.59695302666667,2
92,1711929347.1464832,93,36.59695302666667,2
93,1711929374.1895454,94,36.59695302666667,2
94,1711929402.216184,95,36.59695302666667,2
95,1711929414.0000167,96,36.59695302666667,3
96,1711929439.1937284,97,36.59695302666667,3
97,1711929470.8373513,98,36.59695302666667,3
98,1711929505.7911696,99,36.59695302666667,3
99,1711929542.0108798,100,36.59695302666667,3
100,1711929553.1854515,101,36.59695302666667,3
101,1711929583.5269902,102,36.59695302666667,3
102,1711929619.263156,103,36.59695302666667,3
103,1711929647.4796224,104,36.59695302666667,3
104,1711929677.486383,105,36.59695302666667,3
105,1711929686.7672257,106,38.20665553,4
106,1711929731.0192106,107,38.20665553,4
107,1711929766.4310274,108,38.20665553,4
108,1711929778.3169444,109,38.20665553,4
109,1711929788.1803362,110,38.20665553,4
110,1711929832.787807,111,38.20665553,4
111,1711929878.3383963,112,38.20665553,4
112,1711929924.4766707,113,38.20665553,4
113,1711929937.9046776,114,38.20665553,4
114,1711929970.275847,115,38.20665553,4
115,1711930006.8403885,116,38.20665553,4
116,1711930021.9843962,117,38.20665553,5
117,1711930060.5204785,118,38.20665553,5
118,1711930107.235687,119,38.20665553,5
119,1711930157.3015754,120,38.20665553,5
120,1711930170.2441306,121,38.20665553,5
121,1711930181.305595,122,38.20665553,5
122,1711930224.4496937,123,38.20665553,5
123,1711930242.6625438,124,38.20665553,5
124,1711930260.9364288,125,38.20665553,5
